"02-01-2012","22:36:06"
"X Units:","MICRON"
"Z Units:","MICRON"
"Num Data:",48925
"Data Gain:",1
"Data Offset:",0
23.6988,-0.005402786
23.80095,-0.005525412
23.9031,-0.005770665
24.00525,-0.006015917
24.1074,-0.006138544
24.20955,-0.006445109
24.3117,-0.006506422
24.41385,-0.006629048
24.516,-0.006445109
24.61815,-0.006322483
24.7203,-0.00626117
24.82245,-0.006138544
24.9246,-0.005954604
25.02675,-0.005770665
25.1289,-0.005648038
25.23105,-0.005464099
25.3332,-0.005402786
25.43535,-0.005402786
25.5375,-0.005525412
25.63965,-0.005648038
25.7418,-0.005770665
25.84395,-0.005954604
25.9461,-0.006015917
26.04825,-0.005954604
26.1504,-0.005893291
26.25255,-0.005893291
26.3547,-0.005893291
26.45685,-0.005831978
26.559,-0.005893291
26.66115,-0.005831978
26.7633,-0.005586725
26.86545,-0.005402786
26.9676,-0.005280159
27.06975,-0.005157533
27.1719,-0.004850967
27.27405,-0.004667028
27.3762,-0.004421775
27.47835,-0.004421775
27.5805,-0.004544402
27.68265,-0.004421775
27.7848,-0.004544402
27.88695,-0.004544402
27.9891,-0.004544402
28.09125,-0.004544402
28.1934,-0.004544402
28.29555,-0.004544402
28.3977,-0.004667028
28.49985,-0.004544402
28.602,-0.004605715
28.70415,-0.004544402
28.8063,-0.004544402
28.90845,-0.004421775
29.0106,-0.004299149
29.11275,-0.004176523
29.2149,-0.003869957
29.31705,-0.003686017
29.4192,-0.003563391
29.52135,-0.003318138
29.6235,-0.003072886
29.72565,-0.002950259
29.8278,-0.002705007
29.92995,-0.002705007
30.0321,-0.002582381
30.13425,-0.002705007
30.2364,-0.002705007
30.33855,-0.002888946
30.4407,-0.002827633
30.54285,-0.002827633
30.645,-0.002827633
30.74715,-0.002827633
30.8493,-0.00276632
30.95145,-0.002827633
31.0536,-0.002705007
31.15575,-0.002582381
31.2579,-0.002459754
31.36005,-0.002459754
31.4622,-0.002275815
31.56435,-0.002153188
31.6665,-0.002091875
31.76865,-0.002091875
31.8708,-0.002091875
31.97295,-0.002214502
32.0751,-0.002091875
32.17725,-0.002214502
32.2794,-0.002214502
32.38155,-0.002337128
32.4837,-0.002337128
32.58585,-0.002459754
32.688,-0.002582381
32.79015,-0.002705007
32.8923,-0.002705007
32.99445,-0.002705007
33.0966,-0.002582381
33.19875,-0.002214502
33.3009,-0.001907936
33.40305,-0.001723996
33.5052,-0.00160137
33.60735,-0.001356117
33.7095,-0.001172178
33.81165,-0.001172178
33.9138,-0.001110865
34.01595,-0.001233491
34.1181,-0.001356117
34.22025,-0.001478744
34.3224,-0.001846623
34.42455,-0.002214502
34.5267,-0.002705007
34.62885,-0.002950259
